WEB;CORREO ELECTRONICO;EVALUACIÓN;Escriba OBSERVACIONES TEXTO;RAZÓN SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO
;;;;QUIMTIA SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;DISTRIBUCIONES RIOGRANDE S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;DON MATIAS-ANTIOQUIA
;;;;COLHILADOS LTD;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;RIONEGRO-ANTIOQUIA
;;;;CEDIALCO;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;APARTADO-ANTIOQUIA
;;;;CONIX SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;O-TEK CENTRAL SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;Ascensores Schindler de Colombia SAS;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;PANDAPAN DISTRIBUCIONES S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;LA ESTRELLA-ANTIOQUIA
;;;;LIBREVILLE S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
;;;;O-TEK INTERNACIONAL S.A.S.;SUPERSOCIEDADES;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA
